Name,Director,Cast,Studio
Single Salma,Nachiket Samant,Huma QureshiSunny SinghShreyas Talpade,"Star Studio18, Elemen3 Entertainment"
Haq,Suparn Verma,Emraan HashmiYami Gautam,"Junglee Pictures, Insomnia Films, Baweja Studios"
Jatadhara[β],Venkat KalyanAbhishek Jaiswal,Sudheer BabuSonakshi SinhaDivya Khosla Kumar,"Zee Studios, Ess Kay Gee Entertainment, Sudheer Babu Productions"
Jassi Weds Jassi,Paran Bawa,Harshh Vardhan Singh DeoRehmat RattanRanvir ShoreySikandar KherManu Rishi Chadha,Divinity Studio
Baramulla,Aditya Suhas Jambhale,Manav KaulBhasha Sumbli,"Jio Studios, B62 Studios, Netflix"
De De Pyaar De 2,Anshul Sharma,Ajay DevgnR. MadhavanRakul Preet Singh,"T-Series Films, Luv Films"
Agra,Kanu Behl,Mohit AgarwalPriyanka BoseRuhani SharmaRahul Roy,"Saregama, UFO Moviez, O28 Films"
2020 Delhi,Devendra Malviya,Brijendra KalaSamar Jai SinghSiddharth Bharadwaj,Midas Touch Films
Kaal Trighori,Nitin Vaidya,Arbaaz KhanRituparna SenguptaMahesh ManjrekarAditya SrivastavaMugdha GodseRajesh Sharma,"Pen Studios, Navin Productions"
Nishaanchi 2,Anurag Kashyap,Aaishvary ThackerayVedika PintoMonika PanwarMohammed Zeeshan Ayyub,"Amazon MGM Studios, JAR Pictures, Flip Films, Amazon Prime Video"
120 Bahadur,Razneesh ‘Razy’ Ghai,Farhan AkhtarRaashii Khanna,"Excel Entertainment, Trigger Happy Studios"
Mastiii 4,Milap Zaveri,Riteish DeshmukhVivek OberoiAftab ShivdasaniArshad WarsiTusshar KapoorShreya SharmaElnaaz NorouziRuhi Singh,"Balaji Motion Pictures, Waveband Production, Maruti International"
Tere Ishk Mein,Aanand L. Rai,DhanushKriti Sanon,"T-Series Films, Colour Yellow Productions"
Gustaakh Ishq,Vibhu Puri,Naseeruddin ShahFatima Sana ShaikhVijay VarmaSharib Hashmi,Stage 5 Productions
Me No Pause Me Play,Samar K Mukharjee,Kamya PanjabiDeepshikha NagpalManoj Kumar SharmaAman VermaSudha Chandran,"Digi Filming, Mirrro Films"
Kaisi Ye Paheli,Ananyabrata Chakravorty,Rajit KapoorSukant GoelChittaranjan GiriSadhana Singh,Take Pictures
Dhurandhar,Aditya Dhar,Ranveer SinghAkshaye KhannaSanjay DuttArjun RampalR. MadhavanSara ArjunRakesh Bedi,"Jio Studios, B62 Studios"
Kis Kisko Pyaar Karoon 2,Anukalp Goswami,Kapil SharmaManjot SinghHira WarinaTridha ChoudhuryParul GulatiAyesha Khan,"Star Studio18, Venus Worldwide Entertainment, Abbas-Mustan Film Production"
Saali Mohabbat,Tisca Chopra,Radhika ApteDivyennduAnshumaan PushkarAnurag Kashyap,"Stage 5 Prdoction, Jio Studios, ZEE5"
The Great Shamsuddin Family,Anusha Rizvi,Kritika KamraShreya DhanwantharySheeba ChaddhaFarida JalalPurab Kohli,"Star Studio18, Third World Films Production, JioHotstar"
Raat Akeli Hai: The Bansal Murders,Honey Trehan,Nawazuddin SiddiquiRadhika ApteChitrangada SinghRajat KapoorRevathiDeepti NavalSanjay Kapoor,"RSVP Movies, MacGuffin Pictures"
Durlabh Prasad Ki Dusri Shadi,Siddhant Raj Singh,Sanjay MishraMahima Chaudhry,Eksha Entertainment
Tu Meri Main Tera Main Tera Tu Meri,Sameer Vidwans,Kartik AaryanAnanya PandayNeena GuptaJackie Shroff,"Dharma Productions, Namah Pictures"
