Name,Director,Cast_1,Cast_2,Cast_3,Studio
Sitaare Zameen Par,R. S. Prasanna,Aamir Khan,Genelia Deshmukh,,Aamir Khan Productions
Detective Sherdil,Ravi Chhabriya,Diljit Dosanjh,Diana Penty,Boman Irani,AAZ Films
Maa,Vishal Furia,Kajol,Ronit Roy,Indraneil Sengupta,Jio Studios
Well Done CA Sahab!,Sarvesh Kumar Singh,Gopal Datt,Gaurav Paswala,Jyoti Kapoor,Figures and Frames
Metro... In Dino,Anurag Basu,Aditya Roy Kapur,Sara Ali Khan,Anupam Kher,T-Series Films
Kaalidhar Laapata,Madhumita,Abhishek Bachchan,Daivik Bhagela,Mohammed Zeeshan Ayyub,Zee Studios
Akshardham: Operation Vajra Shakti,Ken Ghosh,Akshaye Khanna Gautam Rode,Vivek Dahiya,Akshay Oberoi,Zee Studios
Maalik,Pulkit,Rajkummar Rao,Manushi Chhillar,Prosenjit Chatterjee,Tips Industries
Aankhon Ki Gustaakhiyan,Santosh Singh,Vikrant Massey,Shanaya Kapoor,,Zee Studios
Aap Jaisa Koi,Vivek Soni,R. Madhavan,Fatima Sana Shaikh,,Dharmatic Entertainment
Saiyaara,Mohit Suri,Ahaan Panday,Aneet Padda,,Yash Raj Films
Tanvi the Great,Anupam Kher,Anupam Kher,Shubhangi Dutt,Iain Glen,Excel Entertainment
Nikita Roy,Kussh Sinha,Sonakshi Sinha,Arjun Rampal,Paresh Rawal,Nicky Vicky Bhagnani Films
Murderbaad,Arnab Chatterjee,Nakul Roshan Sahdev,Kanikka Kapur,Sharib Hashmi,Reliance Entertainment
Sant Tukaram,Aditya Om,Subodh Bhave,Sheena Chohan,Sanjay Mishra,Curzon Films
Mahavatar Narsimha,Ashwin Kumar,Animated characters,,,Hombale Films
So Long Valley,Man Singh,Tridha Choudhury,Akanksha Puri,Vikram Kochhar,Sourya Studios
Sarzameen,Kayoze Irani,Prithviraj Sukumaran,Kajol,Ibrahim Ali Khan,Star Studios
Rasa,Angith JayarajPreetish Jayaraj,Shishir Sharma,Rishi Bissa,Vishishtha Chawla,Purnam Films
Dhadak 2,Shazia Iqbal,Siddhant Chaturvedi,Triptii Dimri,,Zee Studios
Son of Sardaar 2,Vijay Kumar Arora,Ajay Devgn,Mrunal Thakur,Ravi Kishan,Jio Studios
Andaaz 2,Suneel Darshan,Aayush Kumar,Akaisha,Natasha Fernandez,Shree Krishna International
Udaipur Files,Bharat Shrinat,Vijay Raaz,Rajneesh Duggal,Preeti Jhangiani,Jani Firefox Films
Ghich Pich,Ankur Singla,Nitesh Pandey,Satyajit Sharma,Geeta Agrawal Sharma,Barsaati Films
War 2,Ayan Mukerji,Hrithik Roshan,N. T. Rama Rao Jr.Kiara Advani,,Yash Raj Films
Tehran,Arun Gopalan,John Abraham,Neeru Bajwa,Manushi Chhillar,Maddock Films
Param Sundari,Tushar Jalota,Sidharth Malhotra,Janhvi Kapoor,,Maddock Films
Songs of Paradise,Danish Renzu,Soni Razdan,Saba Azad,Zain Khan Durrani,Excel Entertainment
