Name,Director,Cast,Studio,Table
The Mehta Boys,Boman Irani,Boman IraniAvinash Tiwary,"Irani Movietone, Chalkboard Entertainment, Amazon Prime Video",3
Bobby Aur Rishi Ki Love Story,Kunal Kohli,Vardhan PuriKaveri Kapur,"Jio Studios, The Production Headquarters, The Indian Scion Production, Disney+Hotstar",3
Chhaava,Laxman Utekar,Vicky KaushalRashmika MandannaAkshaye Khanna,Maddock Films,3
Dhoom Dhaam,Rishab Seth,Pratik GandhiYami Gautam,"Jio Studios, B62 Studios, Netflix",3
Mere Husband Ki Biwi,Mudassar Aziz,Arjun KapoorRakul Preet SinghBhumi Pednekar,Pooja Entertainment,3
Kaushaljis vs Kaushal,Seemaa Desai,Ashutosh RanaSheeba ChadhaIsha TalwarPavail Gulati,"Jio Studios, Merry Go Round Studios, Mumbai Talkeez, JioHotstar",3
Shaila,Saki Shah,Rohit ChaudharySara KhanSonam AroraAadhvikaaDurvesh RameshwaramHussain KhanKetan Raj Sharma,"Reliance Entertainment, Riyom Films",3
Crazxy,Girish Kohli,Sohum Shah,Sohum Shah Films,3
Superboys of Malegaon,Reema Kagti,Adarsh GouravVineet Kumar SinghShashank AroraAnuj Singh Duhan,"Amazon MGM Studios, Excel Entertainment, Tiger Baby Films",3
Dil Dosti Aur Dogs,Viral Shah,Neena GuptaMasumeh MakhijaSharad KelkarKunaal Roy KapurKeerti Gaekwad KelkarTinu AnandEhan BhatTridha Choudhury,"Jio Studios, The Creative Tribe, JioHotstar",3
Nadaaniyan,Shauna Gautam,Ibrahim Ali KhanKhushi KapoorMahima ChaudhrySuniel ShettyDia MirzaJugal Hansraj,"Dharmatic Entertainment, Netflix",3
Riwaj,Manoj Sati,Myra SareenAftab ShivdasaniAdhvik MahajanMithun ChakrabortyAnita RajJaya Prada,"Kashish Khan Production, ZEE5",3
The Diplomat,Shivam Nair,John AbrahamSadia KhateebRevathyKumud Mishra,"T-Series Films, JA Entertainment, Wakaoo Films, Fortune Pictures",3
My Melbourne,Kabir KhanRima DasOnirImtiaz Ali,Ryanna SkyeKat StewartJake RyanArushi SharmaJackson GallagherArka Das,"Screen Australia, VicScreen, Mind Blowing Entertainment, Mind Blowing World, Soundfirm Post Production, Anticlock Films, Flying River Films, Window Seat Films, Kabir Khan Films",3
