Year,Name,Director,Cast_1,Cast_2,Cast_3,Studio,Language
2025,Aachari Baa,Hardik Gajjar,Neena Gupta, Vatsal Sheth," Apoorva Arora, Kabir Bedi","Jio Studios, Hardik Gajjar Films, Backbencher Pictures",hindi
2025,Baida,Puneet Sharma,Sudhanshu Rai, Manisha Rai, Shobhit Sujay,MNM Entertainment,hindi
2025,Tumko Meri Kasam,Vikram Bhatt,Anupam Kher, Ishwak Singh," Adah Sharma, Esha Deol",Indira Entertainment,hindi
2025,Pintu Ki Pappi,Shiv Hare,Shushant, Jaanyaa Joshi," Viidhi, Ganesh Acharya, Murali Sharma, Vijay Raaz","Mythri Movie Makers, V2S Production & Entertainment",hindi
2025,Sikandar,AR Murugadoss,Salman Khan, Kajal Aggarwal," Rashmika Mandanna, Sathyaraj, Prateik Babbar","Nadiadwala Grandson Entertainment, Salman Khan Films",hindi
2025,Jaat,Gopichand Malineni,Sunny Deol, Randeep Hooda," Regina Cassandra, Saiyami Kher","Mythri Movie Makers, People Media Factory",hindi
2025,Chhorii 2,Vishal Furia,Nushrratt Bharuccha, Soha Ali Khan," Gashmeer Mahajani, Saurabh Goyal, Pallavi Ajay, Kuldeep Sareen, Hardika Sharma","T-Series Films, Abundantia Entertainment, Pshych Film, Tamarisk Lane, Amazon Prime Video",hindi
2025,Kesari Chapter 2,Karan Singh Tyagi,Akshay Kumar, R. Madhavan, Ananya Panday,"Dharma Productions, Cape Of Good Films, Leo Media Collective",hindi
2025,Logout,Amit Golani,Babil Khan, Rasika Dugal," Gandharv Dewan, Nimisha Nair","Viacom18 Studios, Posham Pa Pictures, ZEE5",hindi
2025,The Secret of Devkaali,Niraj Chauhan,Niraj Chauhan, Bhumika Gurung," Mahesh Manjrekar, Ramkrishan Dhakad",Chauhan Production,hindi
2025,Ground Zero,Tejas Prabha Vijay Deoskar,Emraan Hashmi, Sai Tamhankar," Zoya Hussain, Mukesh Tiwari, Lalit Prabhakar","Excel Entertainment, Dreamzkrraft Entertainment, Talisman Films",hindi
2025,Jewel Thief,Kookie GulatiRobbie Garewal,Saif Ali Khan, Jaideep Ahlawat," Nikita Dutta, Kunal Kapoor","Marflix Pictures, Netflix",hindi
2025,Phule,Anant Mahadevan,Pratik Gandhi, Patralekha,,"Zee Studios, Dancing Shiva Films, Kingsmen Productions",hindi
2025,Oye Bhootni Ke,Ajay Kailash Yadav,Mahaakshay Chakraborty, Nikita Sharma," Diana Khan, Ashoka Thackur, Chahat Mughal","Sahatyam Films, Vision Motion Films",hindi
